City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
489,Troitsko-Pechorsk,62.7084,56.1964,27.66,92,100,9.06,RU,2022-02-17 02:18:39
490,Hovsan,40.3744,50.0853,41.13,93,0,6.91,AZ,2022-02-17 02:18:39
491,Loandjili,-4.7561,11.8578,78.17,88,78,3.8,CG,2022-02-17 02:18:40
492,Kelso,46.1468,-122.9084,50.45,87,100,1.01,US,2022-02-17 02:16:56
493,Moree,-29.4667,149.85,91.42,33,8,9.22,AU,2022-02-17 02:18:41
494,Sydney,-33.8679,151.2073,94.32,60,0,6.91,AU,2022-02-17 02:14:43
495,Adelaide,-34.9333,138.6,75.22,59,75,12.66,AU,2022-02-17 02:17:40
496,Mogadishu,2.0371,45.3438,75.58,82,23,12.62,SO,2022-02-17 02:18:41
497,Anyang,36.0994,114.3289,29.73,29,99,5.53,CN,2022-02-17 02:18:42
498,Asosa,10.0667,34.5333,64.51,34,58,3.36,ET,2022-02-17 02:18:42
499,Tommot,58.9564,126.2925,-16.53,93,92,0.22,RU,2022-02-17 02:13:58
500,Ust-Kut,56.7938,105.7672,-11.72,100,100,1.3,RU,2022-02-17 02:18:43
501,Maningrida,-12.0667,134.2667,87.33,63,61,6.35,AU,2022-02-17 02:18:43
502,Hami,42.8,93.45,22.86,43,100,10.42,CN,2022-02-17 02:12:57
503,Dovers,12.8833,-61.1833,77.86,76,1,26.22,VC,2022-02-17 02:18:44
504,Alugan,12.2188,125.4808,81.68,72,100,11.18,PH,2022-02-17 02:18:44
505,Lewistown,40.5992,-77.5714,47.95,87,0,0.0,US,2022-02-17 02:18:45
506,Novaya Ladoga,60.1025,32.3019,34.36,93,100,18.72,RU,2022-02-17 02:18:45
507,La Tuque,47.4334,-72.7824,30.45,93,100,9.22,CA,2022-02-17 02:18:46
508,Ucluelet,48.9329,-125.5528,47.08,88,53,0.47,CA,2022-02-17 02:18:51
509,Swift Current,50.2834,-107.8014,2.21,78,100,10.36,CA,2022-02-17 02:18:51
510,High Level,58.5169,-117.136,-9.29,64,0,9.22,CA,2022-02-17 02:15:05
511,Hernani,43.2662,-1.9762,58.6,78,100,10.36,ES,2022-02-17 02:18:52
512,Vanimo,-2.6741,141.3028,80.11,87,100,6.73,PG,2022-02-17 02:18:52
513,Zyryanovsk,49.7386,84.2719,-11.85,98,99,2.04,KZ,2022-02-17 02:18:53
514,Constitucion,-35.3333,-72.4167,61.43,72,0,11.05,CL,2022-02-17 02:11:32
515,Vidim,56.4088,103.1106,-7.29,98,100,2.19,RU,2022-02-17 02:18:53
516,Koumac,-20.5667,164.2833,84.56,71,61,6.8,NC,2022-02-17 02:18:54
517,Noumea,-22.2763,166.4572,87.01,99,98,13.58,NC,2022-02-17 02:17:17
518,Male,4.1748,73.5089,80.87,70,97,9.42,MV,2022-02-17 02:18:54
519,Chany,55.3121,76.7647,4.06,96,100,9.04,RU,2022-02-17 02:18:55
520,Gigmoto,13.7796,124.39,79.56,81,87,9.44,PH,2022-02-17 02:18:55
521,Dongli,23.5656,116.8194,58.98,88,20,4.47,CN,2022-02-17 02:18:56
522,Kampot,10.6167,104.1833,84.25,72,99,7.29,KH,2022-02-17 02:18:56
523,Samarinda,-0.5,117.15,84.79,67,100,4.34,ID,2022-02-17 02:15:36
524,Surajgarh,28.3124,75.7347,58.46,45,0,7.11,IN,2022-02-17 02:18:57
525,Phan Thiet,10.9333,108.1,83.53,60,19,11.56,VN,2022-02-17 02:18:54
526,Sakakah,29.9697,40.2064,49.75,45,16,3.98,SA,2022-02-17 02:12:39
527,Pisco,-13.7,-76.2167,68.05,83,90,17.27,PE,2022-02-17 02:13:51
528,Nauta,-4.5061,-73.5757,73.04,99,100,1.86,PE,2022-02-17 02:18:58
529,North Bend,43.4065,-124.2243,49.24,90,100,13.8,US,2022-02-17 02:18:58
530,Teya,60.3778,92.6267,6.31,93,100,6.08,RU,2022-02-17 02:18:58
531,Port Lincoln,-34.7333,135.8667,69.31,60,98,11.81,AU,2022-02-17 02:14:20
532,Gamba,-2.65,10.0,77.81,82,100,3.62,GA,2022-02-17 02:18:59
533,Oum Hadjer,13.2954,19.6966,71.65,15,4,10.22,TD,2022-02-17 02:19:00
534,Trincomalee,8.5711,81.2335,78.76,66,99,6.55,LK,2022-02-17 02:19:00
535,Nichinan,31.6,131.3667,42.48,43,75,8.68,JP,2022-02-17 02:19:01
536,Lehigh Acres,26.6254,-81.6248,71.94,82,40,10.36,US,2022-02-17 02:15:03
537,Saint Andrews,34.0454,-81.1293,55.13,76,40,5.75,US,2022-02-17 02:19:01
538,Udachnyy,66.4167,112.4,-35.48,100,56,4.52,RU,2022-02-17 02:19:02
539,Ilebo,-4.3167,20.5833,70.27,98,100,1.12,CD,2022-02-17 02:19:02
540,Te Anau,-45.4167,167.7167,73.85,38,61,6.73,NZ,2022-02-17 02:19:03
541,Lata,40.1629,-8.3327,56.8,96,100,2.35,PT,2022-02-17 02:13:09
542,Huarmey,-10.0681,-78.1522,72.16,80,98,8.25,PE,2022-02-17 02:19:03
543,Mehadia,44.9008,22.3669,40.01,93,13,1.74,RO,2022-02-17 02:19:04
544,Hope,33.6671,-93.5916,71.65,76,100,15.88,US,2022-02-17 02:19:04
545,Progreso,21.2833,-89.6667,80.71,83,66,7.67,MX,2022-02-17 02:17:13
546,Vila Velha,-20.3297,-40.2925,75.94,85,40,2.3,BR,2022-02-17 02:12:08
547,Muros,42.7762,-9.0603,57.09,90,100,8.03,ES,2022-02-17 02:12:32
548,Dongsheng,39.8161,109.9776,24.06,86,100,12.88,CN,2022-02-17 02:13:00
549,Sioux Lookout,50.1001,-91.917,1.4,86,94,10.29,CA,2022-02-17 02:12:32
550,Butembo,0.15,29.2833,58.42,78,100,3.29,CD,2022-02-17 02:19:06
551,Ngunguru,-35.6167,174.5,67.48,65,100,8.32,NZ,2022-02-17 02:19:06
552,Rocha,-34.4833,-54.3333,67.26,83,53,5.32,UY,2022-02-17 02:12:38
553,Xai-Xai,-25.0519,33.6442,74.64,89,26,2.59,MZ,2022-02-17 02:19:07
554,Gisborne,-38.6533,178.0042,70.95,72,37,8.61,NZ,2022-02-17 02:19:07
555,Sabha,27.0377,14.4283,52.88,59,100,10.42,LY,2022-02-17 02:19:08
556,Waitati,-45.75,170.5667,66.79,64,0,10.6,NZ,2022-02-17 02:19:09
557,Bosaso,11.2842,49.1816,68.76,60,62,0.89,SO,2022-02-17 02:13:16
558,Bilma,18.6853,12.9164,67.96,13,51,9.4,NE,2022-02-17 02:19:10
559,Bacungan,9.9106,118.7022,84.11,62,95,3.11,PH,2022-02-17 02:19:10
560,Faya,18.3851,42.4509,52.32,91,13,3.27,SA,2022-02-17 02:11:29
561,Hastings,50.8552,0.5729,52.99,70,19,31.38,GB,2022-02-17 02:16:24
562,Sorland,67.667,12.6934,32.16,60,100,21.23,NO,2022-02-17 02:19:11
563,Mweka,-4.85,21.5667,65.39,99,92,0.43,CD,2022-02-17 02:16:07
564,Oksovskiy,62.6062,39.8984,29.79,97,100,7.78,RU,2022-02-17 02:19:11
565,Zhaodong,46.0833,125.9833,6.82,89,26,5.53,CN,2022-02-17 02:19:12
566,Iclanzel,46.5333,24.2833,28.35,100,100,3.44,RO,2022-02-17 02:19:12
567,Vicuna,-30.0319,-70.7081,73.76,57,0,1.48,CL,2022-02-17 02:19:13
568,Kangaba,11.9333,-8.4167,73.63,17,3,5.14,ML,2022-02-17 02:19:13
569,Mykhaylivka,47.2724,35.2224,37.67,93,65,9.04,UA,2022-02-17 02:19:14
570,Gull Lake,50.1001,-108.4847,1.76,43,100,3.83,CA,2022-02-17 02:17:40
571,Namuac,18.6109,121.1657,76.75,77,70,14.2,PH,2022-02-17 02:19:14
572,El Progreso,15.4,-87.8,72.61,88,40,5.75,HN,2022-02-17 02:19:15
573,Joensuu,62.6012,29.7632,33.28,95,100,12.66,FI,2022-02-17 02:17:32
574,Oranjemund,-28.55,16.4333,62.96,85,83,14.85,NA,2022-02-17 02:19:15
575,Mangrol,21.1167,70.1167,67.64,53,0,8.46,IN,2022-02-17 02:19:16
576,Salisbury,51.0693,-1.7957,51.66,68,75,28.77,GB,2022-02-17 02:17:31
577,Smidovich,48.6,133.8167,4.95,89,41,3.89,RU,2022-02-17 02:19:17
578,Kavieng,-2.5744,150.7967,82.27,73,100,3.83,PG,2022-02-17 02:14:38
579,Buala,-8.145,159.5921,85.28,69,26,4.59,SB,2022-02-17 02:14:52
580,Cozumel,20.5083,-86.9458,77.11,89,40,6.91,MX,2022-02-17 02:19:17
581,Methven,-43.6333,171.65,71.02,66,13,5.01,NZ,2022-02-17 02:19:18
582,Qaqortoq,60.7167,-46.0333,-1.7,85,90,5.5,GL,2022-02-17 02:19:19
583,Raga,8.4596,25.678,68.61,16,34,3.78,SS,2022-02-17 02:19:19
584,Belle Fourche,44.6714,-103.8522,23.32,54,100,7.02,US,2022-02-17 02:19:20
585,Shenkursk,62.1091,42.896,31.12,93,100,8.37,RU,2022-02-17 02:19:20
