City_ID,City,Max Temp,Lat,Lng,Country,Hotel Name
481,Kaura Namoda,83.59,12.5898,6.5779,NG,Moonlight Hotel
482,Betioky,84.09,-23.7167,44.3833,MG,Bungalows Acacias Hotel
485,Mabaruma,82.27,8.2,-59.7833,GY,Monty Brooms Guest House
489,Paita,84.76,-5.0892,-81.1144,PE,Hotel Náutico de Paita
501,Ewa Beach,75.09,21.3156,-158.0072,US,Base Lodging
504,Cassilandia,88.68,-19.1133,-51.7342,BR,Delirius Motel
514,Meulaboh,76.64,4.1363,96.1285,ID,Kost Pria
516,Amapa,80.06,1.0,-52.0,BR,
524,Port Blair,77.04,11.6667,92.75,IN,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
529,Conde,85.46,-7.2597,-34.9075,BR,Pousada Beija Flor
532,Tabou,80.15,4.423,-7.3528,CI,hotêl doufoulougou
535,Maldonado,88.99,-34.6667,-54.9167,UY,La Cimarrona
538,Calabozo,89.65,8.9242,-67.4293,VE,Hotel Giardini
545,Antofagasta,75.22,-23.65,-70.4,CL,"Holiday Inn Express Antofagasta, an IHG Hotel"
547,Bengkulu,75.36,-3.8004,102.2655,ID,Grage Hotel Bengkulu
550,Bara,80.31,10.3744,10.7288,NG,
